item_details,order_details,supplier_details,inventory_details,domain_details,greet,goodbye,bot_challenge,price_details,get_item_prices,get_specific_price,get_item_all_locs,user_item_detail,user_loc_detail
Product,Purchase Order,vendor,Inventory Check,zoning,hey,cu,are you a bot?,pricing detail,[all item prices],cost of particular item,cost of all items in particular location,item number is [100150000](item),location [246001](loc)          
Item,Sales Order,Supplier,Stock Check,zone,hello,good by,are you a human?,price for the item ,item prices without location and item number,price a item,price of products in one location,[](item),Can you tell the price details for item in loc [105](loc)
SKU (Stock Keeping Unit),Order Fulfillment,Distributor,Stock Take,xform,hi,c u later,am I talking to a bot?,price information,[all price] details,,,[100035001](item),I am looking for information about location [](loc)
Merchandise,Order Processing,Manufacturer,Stock Audit,year,hello there,good night,am I talking to a human?,price detail,,,,price detail for item [100035001](item),price details for location [607](loc)
Stock,Order Confirmation,Supplier Relationship,Inventory Audit,yearlong,good morning,bye,Prove,pricing info,,,,Please provide item details for [](item),
Inventory,Order Status,Supplier Management,Stock Count,worksheet,good evening,goodbye,Not a bot,Price,,,,Can you give me information about the item [](item),
Goods,Order Tracking,Supplier Agreement,Inventory Count,workspace,good afternoon,have a nice day,Real person,Cost,,,,,
Article,Order Cancellation,Supplier Evaluation,Stock Verification,workstation,hey there,see you around,Machine,Retail Price,,,,,
Unit,Order Modification,Supplier Performance,Stock Control,approved,let's go,bye bye,Answer correctly,Selling Price,,,,,
Line,Order Return,Supplier Selection,Inventory Verification,submitted,hey dude,see you later,Difficult question,List Price,,,,,
Style,Order Dispatch,Supplier Consolidation,Stock Reconciliation,word,goodmorning,,Smart,MSRP ,,,,,
Variant,Order Hold,Supplier Collaboration,Inventory Reconciliation,work,goodevening,,Confuse,Discounted Price,,,,,
Model,Dropshipping,Supplier Negotiation,Stock Inspection,workflow,,,Generic responses,Sale Price,,,,,
Piece,Bulk Order,Supplier Contract,Inventory Inspection,widget,,,Complex topic,Promotional Price,,,,,
Stock Keeping Item ,Special Order,Supplier Payment Terms,Stock Monitoring,widow,,,,Clearance Price,,,,,
Stock Keeping Unit,Order Lead Time,Supplier Lead Time,Inventory Tracking,whole,,,,Markdown Price,,,,,
SKU,Order Minimums,Supplier Quality Control,Stock Management,wholesale,,,,Unit Price,,,,,
SKI,Order Cut-off Time,Supplier Compliance,Inventory Management,wholesaler,,,,Price Tag,,,,,
Stock Item,Order Expedited Shipping,Supplier Onboarding,Stock Assessment,ware,,,,Price Point,,,,,
Assortment,Order Backlog,Supplier Sourcing,Inventory Assessment,warehouse,,,,Price Range,,,,,
Offering,Order Invoice,Supplier Audit,Stock Accuracy,warehousing,,,,Price Adjustment,,,,,
Selection,Order Payment,Supplier Risk Assessment,Inventory Accuracy,volume,,,,Price Comparison,,,,,
Catalog,Order Refund,Supplier Scorecard,Stock Analysis,voucher,,,,Price Match,,,,,
SKU Number,Order Approval,Supplier Development,Inventory Analysis,upc,,,,Price Increase,,,,,
Item Code,Order Packaging,Supplier Code of Conduct,Stock Adjustment,UPC,,,,Price Decrease,,,,,
Barcode,Order Shipment,Supplier Diversity,Inventory Adjustment,updatable,,,,Price Optimization,,,,,
Part Number,Order Delivery,Preferred Supplier,Stock Replenishment,update,,,,Price Elasticity,,,,,
Product Code,Order History,Strategic Supplier,Inventory Replenishment,updated,,,,Price Strategy,,,,,
Catalog Number,Order Processing Fee,Secondary Supplier,Stock Levels Check,updating,,,,Price Break,,,,,
Description,Order Reconciliation,Single Source Supplier,Inventory Levels Check,updation,,,,Price Negotiation,,,,,
Listing,PO,,Inventory,tsfdetail,,,,Price Override,,,,,
Offering,purchaseorder,,Stock,,,,,Price Floor,,,,,
Unit of Sale,,,Merchandise,,,,,Price Ceiling,,,,,
,,,Products,,,,,Price Transparency,,,,,
,,,Items,,,,,Price Variation,,,,,
,,,Goods,,,,,Manufacturer's Suggested Retail Price,,,,,
,,,Stockpile,,,,,,,,,,
,,,Supplies,,,,,,,,,,
,,,Assets,,,,,,,,,,
,,,Commodities,,,,,,,,,,
,,,Assortment,,,,,,,,,,
,,,Warehouse,,,,,,,,,,
,,,Stockroom,,,,,,,,,,
,,,Store inventory,,,,,,,,,,
,,,Inventory levels,,,,,,,,,,
,,,Inventory management,,,,,,,,,,
,,,Inventory control,,,,,,,,,,
,,,Inventory system,,,,,,,,,,
,,,Inventory tracking,,,,,,,,,,
,,,Inventory turnover,,,,,,,,,,
,,,Inventory valuation,,,,,,,,,,
,,,Stock on hand,,,,,,,,,,
,,,Available stock,,,,,,,,,,
,,,Stock availability,,,,,,,,,,
,,,Stock movement,,,,,,,,,,
,,,Stock replenishment,,,,,,,,,,
,,,Stock management,,,,,,,,,,
,,,Stock control system,,,,,,,,,,
,,,Stock audit,,,,,,,,,,
,,,Stock accuracy,,,,,,,,,,
